sim gen PatchID env.qual K succrate ExpOff Nadult Nimmat Nsuc Nfail Njuv NpreDisp NDisp Nstay Nimmigr Nadfinal Nimmatfin
0 5000 4 -0.533059 46.6941 0.602564 0.748939 78 122 47 31 69 85 27 58 51 109 110 
0 5000 5 -0.950185 4.98152 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 6 2.06149 306.149 0.75641 1.32489 156 200 118 38 212 165 38 127 75 202 246 
0 5000 7 -0.816787 18.3213 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 8 0.277063 127.706 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 9 -1.28839 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 10 0.268616 126.862 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 11 0.714009 171.401 0.590164 0.825231 244 307 144 100 191 244 66 178 48 226 310 
0 5000 12 -0.423192 57.6808 0.462687 0.601842 134 172 62 72 79 124 43 81 41 122 155 
0 5000 13 -0.181187 81.8813 0.489362 0.734753 141 93 69 72 99 124 31 93 34 127 107 
0 5000 14 0.855922 185.592 0.624339 0.990903 189 243 118 71 194 211 66 145 43 188 240 
0 5000 15 0.271263 127.126 0.614943 0.844339 174 176 107 67 155 170 44 126 46 172 197 
0 5000 16 0.060028 106.003 0.417062 0.668782 211 258 88 123 121 206 71 135 28 163 233 
0 5000 17 2.53559 353.559 0.714286 1.20966 231 340 165 66 308 244 68 176 52 228 386 
0 5000 18 0.414841 141.484 0.672956 0.941708 159 184 107 52 173 152 38 114 48 162 195 
0 5000 19 0.0711522 107.115 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 20 -0.137934 86.2066 0.77193 1.20395 57 57 44 13 67 64 16 48 54 102 77 
0 5000 21 -0.272646 72.7354 0.521127 0.677442 142 118 74 68 93 122 32 90 47 137 136 
0 5000 22 -1.77847 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 5000 23 0.102443 110.244 0.628378 0.853799 148 166 93 55 129 140 32 108 66 174 188 
0 5000 24 -0.180955 81.9045 0.554054 0.712509 148 155 82 66 117 149 47 102 37 139 163 
0 6000 0 -0.943785 5.6215 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 1 -2.50567 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 2 -0.795562 20.4438 0.163366 0.183811 202 165 33 169 36 209 98 111 13 124 106 
0 6000 3 0.811433 181.143 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 4 0.61941 161.941 0.510204 0.710359 294 314 150 144 200 286 85 201 72 273 286 
0 6000 5 0.719116 171.912 0.509259 0.693316 324 299 165 159 217 328 101 227 69 296 308 
0 6000 6 1.12746 212.746 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 7 -0.792599 20.7401 0.55 1.01817 20 11 11 9 21 21 7 14 85 99 16 
0 6000 8 -0.704215 29.5786 0.330435 0.409169 115 131 38 77 47 116 47 69 40 109 93 
0 6000 9 0.535506 153.551 0.530516 0.837814 213 140 113 100 163 189 55 134 62 196 176 
0 6000 10 0.869587 186.959 0.703297 1.34523 91 80 64 27 108 91 23 68 107 175 113 
0 6000 11 -0.679137 32.0863 0.259494 0.337598 158 70 41 117 47 158 68 90 32 122 67 
0 6000 12 0.543055 154.305 0.593886 0.80513 229 155 136 93 207 222 60 162 83 245 208 
0 6000 13 -0.510195 48.9805 0.270677 0.311007 266 216 72 194 89 250 93 157 35 192 170 
0 6000 14 -0.401895 59.8105 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 15 1.70459 270.459 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 16 -0.0253272 97.4673 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 17 1.71572 271.572 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 18 1.47574 247.574 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 19 -1.41702 0 0 0 69 97 0 69 0 72 33 39 0 39 55 
0 6000 20 -0.252862 74.7138 0.681818 1.25872 44 5 30 14 47 39 8 31 103 134 31 
0 6000 21 0.398202 139.82 0.463087 0.63871 298 290 138 160 193 281 77 204 68 272 257 
0 6000 22 -0.683478 31.6522 0.36 0.404107 125 144 45 80 55 133 44 89 49 138 116 
0 6000 23 -1.28931 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 6000 24 -0.546249 45.3751 0.346591 0.409939 176 107 61 115 69 169 59 110 40 150 95 
0 7000 0 1.76742 276.742 0.678571 1.10533 224 265 152 72 251 229 55 174 99 273 301 
0 7000 1 1.6658 266.58 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 2 -0.57395 42.605 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 3 0.442641 144.264 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 4 -0.809456 19.0544 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 5 -0.0989674 90.1033 0.741935 1.48804 31 12 23 8 45 26 5 21 97 118 39 
0 7000 6 1.27637 227.637 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 7 -0.313379 68.6621 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 8 -0.310655 68.9345 0.435185 0.483862 216 238 94 122 115 222 69 153 50 203 202 
0 7000 9 -1.39071 0 0 0 76 58 0 76 0 75 37 38 0 38 35 
0 7000 10 -0.414946 58.5054 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 11 -0.36132 63.868 0.319838 0.410901 247 376 79 168 89 263 112 151 39 190 265 
0 7000 12 2.06621 306.621 0.660305 1.07847 262 316 173 89 280 273 77 196 76 272 338 
0 7000 13 0.689581 168.958 0.619048 1.0695 147 128 91 56 141 149 36 113 80 193 168 
0 7000 14 -1.41332 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 15 0.201353 120.135 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 16 1.32325 232.325 0.659292 1.0138 226 272 149 77 234 235 65 170 93 263 272 
0 7000 17 -0.0407392 95.9261 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 18 -0.902438 9.75619 0.0434783 0.156404 115 90 5 110 5 108 57 51 5 56 57 
0 7000 19 -1.63949 0 0 0 35 60 0 35 0 44 20 24 0 24 29 
0 7000 20 -1.53302 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 7000 21 -0.447702 55.2298 0.339901 0.427757 203 238 69 134 80 216 87 129 34 163 180 
0 7000 22 -0.386263 61.3737 0.408805 0.556997 159 165 65 94 75 161 54 107 50 157 139 
0 7000 23 0.383526 138.353 0.637037 1.01226 135 86 86 49 143 127 32 95 73 168 140 
0 7000 24 0.803752 180.375 0.533981 0.933679 206 214 110 96 166 197 57 140 67 207 215 
0 8000 0 -0.654588 34.5412 0.253012 0.34448 166 228 42 124 48 179 74 105 15 120 151 
0 8000 1 -1.7537 0 0 0 22 18 0 22 0 24 6 18 0 18 8 
0 8000 2 0.74125 174.125 0.576087 0.972426 184 239 106 78 177 185 45 140 33 173 233 
0 8000 3 1.08555 208.555 0.628205 0.942504 234 304 147 87 235 230 57 173 53 226 327 
0 8000 4 0.639159 163.916 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 5 1.5792 257.92 0.66129 1.16201 186 237 123 63 201 189 46 143 31 174 264 
0 8000 6 0.175347 117.535 0.660131 0.868907 153 210 101 52 143 148 37 111 50 161 204 
0 8000 7 0.34788 134.788 0.560241 0.896232 166 182 93 73 141 157 51 106 48 154 173 
0 8000 8 0.0244916 102.449 0.616071 0.955463 112 69 69 43 124 104 22 82 42 124 108 
0 8000 9 1.03158 203.158 0.658416 1.00286 202 251 133 69 215 204 53 151 37 188 261 
0 8000 10 -1.00276 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 11 1.57705 257.705 0.696809 1.15639 188 189 131 57 226 200 45 155 36 191 240 
0 8000 12 -1.40312 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 13 -0.887224 11.2776 1 1.8371 1 0 1 0 2 0 0 0 71 71 0 
0 8000 14 0.626154 162.615 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 15 -1.67382 0 0 0 66 66 0 66 0 69 40 29 0 29 40 
0 8000 16 -0.539892 46.0108 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 17 1.65942 265.942 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 18 0.385146 138.515 1 1.97153 2 1 2 0 5 2 1 1 58 59 4 
